Ancient pop	Sex	Age	Country	Lat	Long	C	F	I	P	R	Y	Z	total
England BellBeaker	M	4250	United Kingdom	51.24	-1.76	0	0	0	0	1	0	0	1
England C EBA	M	3886	United Kingdom	51.981931599999996	-1.2027084399999999	0	0	0	0	5	0	0	5
England C EBA lowEEF	M	4034	United Kingdom	53.079803	-1.640942	0	0	0	0	1	0	0	1
England EIA	M	2468	United Kingdom	51.4581565	-0.42911455	0	0	1	0	3	0	0	4
England EastYorkshire MIA LIA	M	2175	United Kingdom	53.919396	-0.766635	0	0	0	0	2	0	0	2
England IA Roman.SG	M	1750	United Kingdom	53.958333	-1.080278	0	0	0	0	1	0	0	1
England LIA	M	1989	United Kingdom	52.639455	-2.1872325	0	0	0	0	2	0	0	2
England MBA	M	3292	United Kingdom	51.520803	-1.2634029999999998	0	0	0	0	2	0	0	2
England MIA	M	2247	United Kingdom	51.157718599999995	-0.9126448399999999	0	0	0	0	5	0	0	5
England MIA LIA	M	2157	United Kingdom	52.537532666666664	-1.6907416666666666	0	0	0	0	6	0	0	6
England N	M	5006	United Kingdom	52.1794015	-2.192133	1	0	1	0	0	0	0	2
England N o	M	5813	United Kingdom	51.31951	-2.94847	1	0	0	0	0	0	0	1
England Viking.SG	M	1010	United Kingdom	51.76	-1.26	0	0	0	0	4	0	0	4
England Viking o.SG	M	1010	United Kingdom	51.76	-1.26	0	0	0	0	1	0	0	1
Hungary DanubeTisza EAvar	M	1300	Hungary	47.0484835	19.231274499999998	0	2	0	0	0	0	0	2
Hungary DanubeTisza LAvar	M	1250	Hungary	46.750679	19.738192	0	1	0	0	0	0	0	1
Hungary EBA Protonagyrev	M	4011	Hungary	47.429954	19.051966	0	0	0	0	1	0	0	1
Hungary Transtisza EAvar	M	1300	Hungary	46.861303	20.556284	0	0	0	0	0	1	0	1
Ireland EBA.SG	M	3700	Ireland	55.292132	-6.191685	0	0	0	0	2	0	0	2
Ireland EN.SG	M	5705	Ireland	53.04866	-9.140049	0	0	1	0	0	0	0	1
Ireland EN MN.SG	M	5558	Ireland	53.04866	-9.140049	0	0	1	0	0	0	0	1
Ireland MN.SG	M	5442	Ireland	52.985499	-9.111454	0	0	1	0	0	0	0	1
Ireland Megalithic.SG	M	5517	Ireland	54.251	-8.519	0	0	1	0	0	0	0	1
Scotland C EBA	M	3978	United Kingdom	55.99	-2.537	0	0	0	0	1	0	0	1
Scotland LBA	M	2810	United Kingdom	57.72	-3.388	0	0	0	0	1	0	0	1
Scotland MBA	M	3268	United Kingdom	57.105	-4.9155	0	0	1	0	1	0	0	2
Scotland N	M	5281	United Kingdom	59.16815	-3.061	0	0	2	0	0	0	0	2
Scotland N lowEEF	M	5517	United Kingdom	56.403333	-5.478056	0	0	1	0	0	0	0	1
Spain Almoloya Argar Early	M	3803	Spain	37.952759	-1.508	0	0	0	0	0	0	1	1
Spain Almoloya Argar Late	M	3825	Spain	37.952759	-1.508	0	0	0	0	0	0	1	1
Spain Almoloya Argar son.ALM015.ALM016	M	3765	Spain	37.952759	-1.508	0	0	0	0	0	0	1	1
Spain LaHorna BA 1d.LHO001	M	3500	Spain	38.344015	-0.77	0	0	0	0	0	0	1	1
Spain SE Iberia BA Argar	M	3450	Spain	37.674387	-1.697	0	0	0	1	0	0	0	1
Spain SE Iberia CA	M	4750	Spain	38.783176	-0.34	0	0	0	1	0	0	0	1
Wales C EBA	M	3563	United Kingdom	53.33	-3.84	0	0	0	0	1	0	0	1
Wales LBA	M	3050	United Kingdom	51.537627	-4.211801	0	0	0	0	1	0	0	1
